,origin,destination,requirement
138,Afghanistan,Paraguay,visa_required
139,Afghanistan,Peru,visa_required
140,Afghanistan,Philippines,visa_required
141,Afghanistan,Poland,visa_required
142,Afghanistan,Portugal,visa_required
143,Afghanistan,Qatar,visa_required
144,Afghanistan,Romania,visa_required
145,Afghanistan,Russia,visa_required
146,Afghanistan,Rwanda,visa_on_arrival
147,Afghanistan,Saint Kitts and Nevis,visa_required
148,Afghanistan,Saint Lucia,visa_required
149,Afghanistan,Samoa,visa_on_arrival
150,Afghanistan,San Marino,visa_required
151,Afghanistan,São Tomé and Príncipe,visa_required
152,Afghanistan,Saudi Arabia,visa_required
153,Afghanistan,Senegal,visa_required
154,Afghanistan,Serbia,visa_required
155,Afghanistan,Seychelles,visa_on_arrival
156,Afghanistan,Sierra Leone,visa_required
157,Afghanistan,Singapore,visa_required
158,Afghanistan,Slovakia,visa_required
159,Afghanistan,Slovenia,visa_required
160,Afghanistan,Solomon Islands,visa_required
161,Afghanistan,Somalia,visa_on_arrival
162,Afghanistan,South Africa,visa_required
163,Afghanistan,South Korea,visa_required
164,Afghanistan,South Sudan,visa_on_arrival
165,Afghanistan,Spain,visa_required
166,Afghanistan,Sri Lanka,eta
167,Afghanistan,Saint Vincent and the Grenadines,visa_required
168,Afghanistan,Sudan,visa_required
169,Afghanistan,Suriname,visa_required
170,Afghanistan,Sweden,visa_required
171,Afghanistan,Switzerland,visa_required
172,Afghanistan,Syria,visa_required
173,Afghanistan,Taiwan,visa_required
174,Afghanistan,Tajikistan,visa_required
175,Afghanistan,Tanzania,visa_required
176,Afghanistan,Thailand,visa_required
177,Afghanistan,Timor-Leste,visa_on_arrival
178,Afghanistan,Togo,visa_on_arrival
179,Afghanistan,Tonga,visa_required
180,Afghanistan,Trinidad and Tobago,visa_required
181,Afghanistan,Tunisia,visa_required
182,Afghanistan,Turkmenistan,visa_required
183,Afghanistan,Tuvalu,visa_on_arrival
184,Afghanistan,Turkey,visa_on_arrival
185,Afghanistan,Uganda,visa_on_arrival
186,Afghanistan,Ukraine,visa_required
187,Afghanistan,United Arab Emirates,visa_required
188,Afghanistan,United Kingdom,visa_required
189,Afghanistan,United States of America,visa_required
190,Afghanistan,Uruguay,visa_required
191,Afghanistan,Uzbekistan,visa_required
192,Afghanistan,Vanuatu,visa_required
193,Afghanistan,Vatican City,visa_required
194,Afghanistan,Venezuela,visa_required
195,Afghanistan,Vietnam,visa_required
196,Afghanistan,Yemen,visa_required
197,Afghanistan,Zambia,visa_required
198,Afghanistan,Zimbabwe,visa_required
199,Afghanistan,Afghanistan,
200,Albania,Afghanistan,visa_required
201,Albania,Algeria,visa_required
202,Albania,Andorra,visa_free
203,Albania,Angola,visa_on_arrival
204,Albania,Antigua and Barbuda,visa_free
205,Albania,Argentina,visa_required
206,Albania,Armenia,visa_free
207,Albania,Australia,visa_required
208,Albania,Austria,visa_free
209,Albania,Azerbaijan,visa_on_arrival
210,Albania,Bahamas,visa_required
211,Albania,Bahrain,visa_required
212,Albania,Bangladesh,visa_on_arrival
213,Albania,Barbados,visa_free
214,Albania,Belarus,visa_free
215,Albania,Belgium,visa_free
216,Albania,Belize,visa_required
217,Albania,Benin,visa_required
218,Albania,Bhutan,visa_required
219,Albania,Bolivia,visa_on_arrival
220,Albania,Bosnia and Herzegovina,visa_free
221,Albania,Botswana,visa_required
222,Albania,Brazil,visa_free
223,Albania,Brunei,visa_required
224,Albania,Bulgaria,visa_free
225,Albania,Burkina Faso,visa_required
226,Albania,Burundi,visa_on_arrival
227,Albania,Cambodia,visa_on_arrival
228,Albania,Cameroon,visa_required
229,Albania,Canada,visa_required
230,Albania,Cape Verde,visa_on_arrival
231,Albania,Central African Republic,visa_required
232,Albania,Chad,visa_required
233,Albania,Chile,visa_free
234,Albania,China,visa_free
235,Albania,Colombia,visa_free
236,Albania,Comoros,visa_on_arrival
237,Albania,Congo [Republic],visa_required
238,Albania,Congo [DRC],visa_on_arrival
239,Albania,Costa Rica,visa_required
240,Albania,Côte d'Ivoire,eta
241,Albania,Croatia,visa_free
242,Albania,Cuba,visa_on_arrival
243,Albania,Cyprus,visa_free
244,Albania,Czech Republic,visa_free
245,Albania,Denmark,visa_free
246,Albania,Djibouti,visa_on_arrival
247,Albania,Dominica,visa_free
248,Albania,Dominican Republic,visa_free
249,Albania,Ecuador,visa_required
250,Albania,Egypt,visa_on_arrival
251,Albania,El Salvador,visa_free
252,Albania,Equatorial Guinea,visa_required
253,Albania,Eritrea,visa_required
254,Albania,Estonia,visa_free
255,Albania,Eswatini,visa_required
256,Albania,Ethiopia,visa_on_arrival
257,Albania,Fiji,visa_required
258,Albania,Finland,visa_free
259,Albania,France,visa_free
260,Albania,Gabon,visa_on_arrival
261,Albania,Gambia,visa_free
262,Albania,Georgia,visa_free
263,Albania,Germany,visa_free
264,Albania,Ghana,visa_required
265,Albania,Greece,visa_free
266,Albania,Grenada,visa_required
267,Albania,Guatemala,visa_required
268,Albania,Guinea,visa_on_arrival
269,Albania,Guinea-Bissau,visa_required
270,Albania,Guyana,visa_free
271,Albania,Haiti,visa_free
272,Albania,Honduras,visa_required
273,Albania,Hong Kong,visa_free
274,Albania,Hungary,visa_free
275,Albania,Iceland,visa_free
276,Albania,India,visa_on_arrival
277,Albania,Indonesia,visa_on_arrival
278,Albania,Iran,visa_on_arrival
279,Albania,Iraq,visa_required
280,Albania,Ireland,visa_required
281,Albania,Israel,visa_free
282,Albania,Italy,visa_free
283,Albania,Jamaica,visa_on_arrival
284,Albania,Japan,visa_required
285,Albania,Jordan,visa_on_arrival
286,Albania,Kazakhstan,visa_required
287,Albania,Kenya,visa_on_arrival
288,Albania,Kiribati,visa_required
289,Albania,Kosovo,visa_free
290,Albania,Kuwait,visa_required
291,Albania,Kyrgyzstan,visa_free
292,Albania,Laos,visa_on_arrival
293,Albania,Latvia,visa_free
294,Albania,Lebanon,visa_required
295,Albania,Lesotho,visa_on_arrival
296,Albania,Liberia,visa_required
297,Albania,Libya,visa_required
298,Albania,Liechtenstein,visa_free
299,Albania,Lithuania,visa_free
300,Albania,Luxembourg,visa_free
301,Albania,Macao,visa_free
302,Albania,Madagascar,visa_on_arrival
303,Albania,Malawi,visa_on_arrival
304,Albania,Malaysia,visa_free
305,Albania,Maldives,visa_on_arrival
306,Albania,Mali,visa_required
307,Albania,Malta,visa_free
308,Albania,Marshall Islands,visa_required
309,Albania,Mauritania,visa_on_arrival
310,Albania,Mauritius,visa_on_arrival
311,Albania,Mexico,visa_required
312,Albania,Micronesia,visa_free
313,Albania,Moldova,visa_free
314,Albania,Monaco,visa_free
315,Albania,Mongolia,visa_required
316,Albania,Montenegro,visa_free
317,Albania,Morocco,visa_required
318,Albania,Mozambique,visa_on_arrival
319,Albania,Myanmar [Burma],visa_required
320,Albania,Namibia,visa_required
321,Albania,Nauru,visa_required
322,Albania,Nepal,visa_on_arrival
323,Albania,Netherlands,visa_free
324,Albania,New Zealand,visa_required
325,Albania,Nicaragua,visa_required
326,Albania,Niger,visa_required
327,Albania,Nigeria,visa_on_arrival
328,Albania,North Korea,visa_required
329,Albania,North Macedonia,visa_free
330,Albania,Norway,visa_free
331,Albania,Oman,visa_required
332,Albania,Pakistan,visa_required
333,Albania,Palau,visa_on_arrival
334,Albania,Palestinian Territories,visa_free
335,Albania,Panama,visa_required
336,Albania,Papua New Guinea,visa_required
337,Albania,Paraguay,visa_required
338,Albania,Peru,visa_required
339,Albania,Philippines,visa_required
340,Albania,Poland,visa_free
341,Albania,Portugal,visa_free
342,Albania,Qatar,visa_required
343,Albania,Romania,visa_free
344,Albania,Russia,visa_required
345,Albania,Rwanda,visa_on_arrival
346,Albania,Saint Kitts and Nevis,visa_required
347,Albania,Saint Lucia,visa_required
348,Albania,Samoa,visa_on_arrival
349,Albania,San Marino,visa_free
350,Albania,São Tomé and Príncipe,visa_required
351,Albania,Saudi Arabia,visa_required
352,Albania,Senegal,visa_required
353,Albania,Serbia,visa_free
354,Albania,Seychelles,visa_on_arrival
355,Albania,Sierra Leone,visa_required
356,Albania,Singapore,visa_free
357,Albania,Slovakia,visa_free
358,Albania,Slovenia,visa_free
359,Albania,Solomon Islands,visa_required
360,Albania,Somalia,visa_on_arrival
361,Albania,South Africa,visa_required
362,Albania,South Korea,eta
363,Albania,South Sudan,visa_on_arrival
364,Albania,Spain,visa_free
365,Albania,Sri Lanka,eta
366,Albania,Saint Vincent and the Grenadines,visa_free
367,Albania,Sudan,visa_required
368,Albania,Suriname,visa_free
369,Albania,Sweden,visa_free
370,Albania,Switzerland,visa_free
371,Albania,Syria,visa_required
372,Albania,Taiwan,visa_required
373,Albania,Tajikistan,visa_required
374,Albania,Tanzania,visa_on_arrival
375,Albania,Thailand,visa_required
376,Albania,Timor-Leste,visa_on_arrival
377,Albania,Togo,visa_on_arrival
378,Albania,Tonga,visa_required
379,Albania,Trinidad and Tobago,visa_free
380,Albania,Tunisia,visa_required
381,Albania,Turkmenistan,visa_required
382,Albania,Tuvalu,visa_on_arrival
383,Albania,Turkey,visa_free
384,Albania,Uganda,visa_on_arrival
385,Albania,Ukraine,visa_free
386,Albania,United Arab Emirates,visa_free
387,Albania,United Kingdom,visa_required
388,Albania,United States of America,visa_required
389,Albania,Uruguay,visa_required
390,Albania,Uzbekistan,visa_on_arrival
391,Albania,Vanuatu,visa_required
392,Albania,Vatican City,visa_free
393,Albania,Venezuela,visa_required
394,Albania,Vietnam,visa_required
395,Albania,Yemen,visa_required
396,Albania,Zambia,visa_on_arrival
397,Albania,Zimbabwe,visa_on_arrival
398,Albania,Albania,
399,Algeria,Afghanistan,visa_required
400,Algeria,Albania,visa_required
401,Algeria,Andorra,visa_required
402,Algeria,Angola,visa_on_arrival
403,Algeria,Antigua and Barbuda,visa_required
404,Algeria,Argentina,visa_required
405,Algeria,Armenia,visa_on_arrival
406,Algeria,Australia,visa_required
407,Algeria,Austria,visa_required
408,Algeria,Azerbaijan,visa_on_arrival
409,Algeria,Bahamas,visa_required
410,Algeria,Bahrain,visa_required
411,Algeria,Bangladesh,visa_required
412,Algeria,Barbados,visa_free
413,Algeria,Belarus,visa_required
414,Algeria,Belgium,visa_required
415,Algeria,Belize,visa_required
416,Algeria,Benin,visa_free
417,Algeria,Bhutan,visa_required
418,Algeria,Bolivia,visa_on_arrival
419,Algeria,Bosnia and Herzegovina,visa_required
420,Algeria,Botswana,visa_required
421,Algeria,Brazil,visa_required
422,Algeria,Brunei,visa_required
423,Algeria,Bulgaria,visa_required
424,Algeria,Burkina Faso,visa_required
425,Algeria,Burundi,visa_on_arrival
426,Algeria,Cambodia,visa_on_arrival
427,Algeria,Cameroon,visa_required
428,Algeria,Canada,visa_required
429,Algeria,Cape Verde,visa_on_arrival
430,Algeria,Central African Republic,visa_required
431,Algeria,Chad,visa_required
432,Algeria,Chile,visa_required
433,Algeria,China,visa_required
434,Algeria,Colombia,visa_required
435,Algeria,Comoros,visa_on_arrival
436,Algeria,Congo [Republic],visa_required
437,Algeria,Congo [DRC],visa_on_arrival
438,Algeria,Costa Rica,visa_required
439,Algeria,Côte d'Ivoire,eta
440,Algeria,Croatia,visa_required
441,Algeria,Cuba,visa_on_arrival
442,Algeria,Cyprus,visa_required
443,Algeria,Czech Republic,visa_required
444,Algeria,Denmark,visa_required
445,Algeria,Djibouti,visa_on_arrival
446,Algeria,Dominica,visa_free
447,Algeria,Dominican Republic,visa_required
448,Algeria,Ecuador,visa_free
449,Algeria,Egypt,visa_required
450,Algeria,El Salvador,visa_required
451,Algeria,Equatorial Guinea,visa_required
452,Algeria,Eritrea,visa_required
453,Algeria,Estonia,visa_required
454,Algeria,Eswatini,visa_required
455,Algeria,Ethiopia,visa_on_arrival
456,Algeria,Fiji,visa_required
457,Algeria,Finland,visa_required
458,Algeria,France,visa_required
459,Algeria,Gabon,visa_on_arrival
460,Algeria,Gambia,visa_free
461,Algeria,Georgia,visa_required
462,Algeria,Germany,visa_required
463,Algeria,Ghana,visa_on_arrival
464,Algeria,Greece,visa_required
465,Algeria,Grenada,visa_required
466,Algeria,Guatemala,visa_required
467,Algeria,Guinea,visa_free
468,Algeria,Guinea-Bissau,visa_required
469,Algeria,Guyana,visa_required
470,Algeria,Haiti,visa_free
471,Algeria,Honduras,visa_required
472,Algeria,Hong Kong,visa_free
473,Algeria,Hungary,visa_required
474,Algeria,Iceland,visa_required
475,Algeria,India,visa_required
476,Algeria,Indonesia,visa_required
477,Algeria,Iran,visa_on_arrival
478,Algeria,Iraq,visa_required
479,Algeria,Ireland,visa_required
480,Algeria,Israel,visa_required
481,Algeria,Italy,visa_required
482,Algeria,Jamaica,visa_required
483,Algeria,Japan,visa_required
484,Algeria,Jordan,visa_on_arrival
485,Algeria,Kazakhstan,visa_required
486,Algeria,Kenya,visa_on_arrival
487,Algeria,Kiribati,visa_required
488,Algeria,Kosovo,visa_required
489,Algeria,Kuwait,visa_required
490,Algeria,Kyrgyzstan,visa_required
491,Algeria,Laos,visa_required
492,Algeria,Latvia,visa_required
493,Algeria,Lebanon,visa_on_arrival
494,Algeria,Lesotho,visa_on_arrival
495,Algeria,Liberia,visa_required
496,Algeria,Libya,visa_required
497,Algeria,Liechtenstein,visa_required
498,Algeria,Lithuania,visa_required
499,Algeria,Luxembourg,visa_required
500,Algeria,Macao,visa_on_arrival
501,Algeria,Madagascar,visa_on_arrival
502,Algeria,Malawi,visa_on_arrival
503,Algeria,Malaysia,visa_free
504,Algeria,Maldives,visa_on_arrival
505,Algeria,Mali,visa_free
506,Algeria,Malta,visa_required
507,Algeria,Marshall Islands,visa_required
508,Algeria,Mauritania,visa_free
509,Algeria,Mauritius,visa_on_arrival
510,Algeria,Mexico,visa_required
511,Algeria,Micronesia,visa_free
512,Algeria,Moldova,visa_required
513,Algeria,Monaco,visa_required
514,Algeria,Mongolia,visa_required
515,Algeria,Montenegro,visa_required
516,Algeria,Morocco,visa_free
517,Algeria,Mozambique,visa_on_arrival
518,Algeria,Myanmar [Burma],visa_required
519,Algeria,Namibia,visa_required
520,Algeria,Nauru,visa_required
521,Algeria,Nepal,visa_on_arrival
522,Algeria,Netherlands,visa_required
523,Algeria,New Zealand,visa_required
524,Algeria,Nicaragua,visa_on_arrival
525,Algeria,Niger,visa_required
526,Algeria,Nigeria,visa_on_arrival
527,Algeria,North Korea,visa_required
528,Algeria,North Macedonia,visa_required
529,Algeria,Norway,visa_required
530,Algeria,Oman,visa_required
531,Algeria,Pakistan,visa_required
532,Algeria,Palau,visa_on_arrival
533,Algeria,Palestinian Territories,visa_free
534,Algeria,Panama,visa_required
535,Algeria,Papua New Guinea,visa_required
536,Algeria,Paraguay,visa_required
537,Algeria,Peru,visa_required
538,Algeria,Philippines,visa_required
539,Algeria,Poland,visa_required
540,Algeria,Portugal,visa_required
541,Algeria,Qatar,visa_required
542,Algeria,Romania,visa_required
543,Algeria,Russia,visa_required
544,Algeria,Rwanda,visa_on_arrival
545,Algeria,Saint Kitts and Nevis,visa_required
546,Algeria,Saint Lucia,visa_required
547,Algeria,Samoa,visa_on_arrival
548,Algeria,San Marino,visa_required
549,Algeria,São Tomé and Príncipe,visa_required
550,Algeria,Saudi Arabia,visa_required
551,Algeria,Senegal,visa_on_arrival
552,Algeria,Serbia,visa_required
553,Algeria,Seychelles,visa_on_arrival
554,Algeria,Sierra Leone,visa_required
555,Algeria,Singapore,visa_required
556,Algeria,Slovakia,visa_required
557,Algeria,Slovenia,visa_required
558,Algeria,Solomon Islands,visa_required
559,Algeria,Somalia,visa_on_arrival
560,Algeria,South Africa,visa_required
561,Algeria,South Korea,visa_required
562,Algeria,South Sudan,visa_on_arrival
563,Algeria,Spain,visa_required
564,Algeria,Sri Lanka,eta
565,Algeria,Saint Vincent and the Grenadines,visa_free
566,Algeria,Sudan,visa_required
567,Algeria,Suriname,visa_free
568,Algeria,Sweden,visa_required
569,Algeria,Switzerland,visa_required
570,Algeria,Syria,visa_free
571,Algeria,Taiwan,visa_required
572,Algeria,Tajikistan,visa_on_arrival
573,Algeria,Tanzania,visa_on_arrival
574,Algeria,Thailand,visa_required
575,Algeria,Timor-Leste,visa_on_arrival
576,Algeria,Togo,visa_on_arrival
577,Algeria,Tonga,visa_required
578,Algeria,Trinidad and Tobago,visa_required
579,Algeria,Tunisia,visa_free
580,Algeria,Turkmenistan,visa_required
581,Algeria,Tuvalu,visa_on_arrival
582,Algeria,Turkey,visa_on_arrival
583,Algeria,Uganda,visa_on_arrival
584,Algeria,Ukraine,visa_required
585,Algeria,United Arab Emirates,visa_required
586,Algeria,United Kingdom,visa_required
587,Algeria,United States of America,visa_required
588,Algeria,Uruguay,visa_required
589,Algeria,Uzbekistan,visa_on_arrival
590,Algeria,Vanuatu,visa_required
591,Algeria,Vatican City,visa_required
592,Algeria,Venezuela,visa_required
593,Algeria,Vietnam,visa_required
594,Algeria,Yemen,visa_on_arrival
595,Algeria,Zambia,visa_required
596,Algeria,Zimbabwe,visa_on_arrival
597,Algeria,Algeria,
598,Andorra,Afghanistan,visa_required
599,Andorra,Albania,visa_free
600,Andorra,Algeria,visa_required
601,Andorra,Angola,visa_on_arrival
